"filename", "language", "Dart", "Markdown", "comment", "blank", "total"
"c:\ifit\ecomflutter\lib\Features\OnBoardingPage\Widgets\sign_in_group_buttons.dart", "Dart", 50, 0, 0, 6, 56
"c:\ifit\ecomflutter\lib\Features\OnBoardingPage\Widgets\sign_in_text.dart", "Dart", 15, 0, 0, 3, 18
"c:\ifit\ecomflutter\lib\Features\OnBoardingPage\create_new_account_view.dart", "Dart", 160, 0, 0, 11, 171
"c:\ifit\ecomflutter\lib\Features\OnBoardingPage\initial_sign_view.dart", "Dart", 170, 0, 0, 10, 180
"c:\ifit\ecomflutter\lib\Features\OnBoardingPage\logo_view.dart", "Dart", 36, 0, 0, 5, 41
"c:\ifit\ecomflutter\lib\Features\OnBoardingPage\password_check_view.dart", "Dart", 156, 0, 0, 9, 165
"c:\ifit\ecomflutter\lib\Features\OnBoardingPage\splash_view.dart", "Dart", 98, 0, 0, 12, 110
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Data\Models\order.dart", "Dart", 43, 0, 1, 4, 48
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Data\Models\order.g.dart", "Dart", 48, 0, 4, 8, 60
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Data\Models\orderItem.dart", "Dart", 13, 0, 0, 4, 17
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Data\Models\orderItem.g.dart", "Dart", 33, 0, 4, 8, 45
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Data\Repo\order_request_repo.dart", "Dart", 102, 0, 1, 14, 117
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Manager\order_view_cubit.dart", "Dart", 23, 0, 0, 3, 26
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Manager\order_view_state.dart", "Dart", 9, 0, 0, 5, 14
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Manager\orders_page_cubit.dart", "Dart", 30, 0, 0, 5, 35
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Manager\orders_page_state.dart", "Dart", 12, 0, 0, 5, 17
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Views\OrdersViewPage\Widgets\allTabs.dart", "Dart", 57, 0, 0, 6, 63
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Views\OrdersViewPage\Widgets\order_status.dart", "Dart", 94, 0, 0, 6, 100
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Views\OrdersViewPage\Widgets\order_tile.dart", "Dart", 62, 0, 0, 5, 67
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Views\OrdersViewPage\Widgets\orders_found_view_body.dart", "Dart", 53, 0, 1, 3, 57
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Views\OrdersViewPage\Widgets\orders_not_found_view_body.dart", "Dart", 45, 0, 0, 4, 49
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Views\OrdersViewPage\order_view.dart", "Dart", 157, 0, 0, 7, 164
"c:\ifit\ecomflutter\lib\Features\OrdersPage\Presentation\Views\OrdersViewPage\orders.dart", "Dart", 9, 0, 3, 4, 16
"c:\ifit\ecomflutter\lib\Features\PaymentScreens\Widgets\payment_fail_view_body.dart", "Dart", 59, 0, 0, 3, 62
"c:\ifit\ecomflutter\lib\Features\PaymentScreens\Widgets\payment_success_view_body.dart", "Dart", 53, 0, 0, 3, 56
"c:\ifit\ecomflutter\lib\Features\PaymentScreens\payment_view.dart", "Dart", 20, 0, 1, 5, 26
"c:\ifit\ecomflutter\lib\Features\PreferencesPage\AddPages\add_address_view.dart", "Dart", 164, 0, 0, 13, 177
"c:\ifit\ecomflutter\lib\Features\PreferencesPage\AddPages\add_card_view.dart", "Dart", 164, 0, 0, 14, 178
"c:\ifit\ecomflutter\lib\Features\PreferencesPage\address_view.dart", "Dart", 90, 0, 0, 3, 93
"c:\ifit\ecomflutter\lib\Features\PreferencesPage\help_view.dart", "Dart", 78, 0, 0, 4, 82
"c:\ifit\ecomflutter\lib\Features\PreferencesPage\payment_view.dart", "Dart", 128, 0, 0, 7, 135
"c:\ifit\ecomflutter\lib\Features\PreferencesPage\support_view.dart", "Dart", 76, 0, 0, 2, 78
"c:\ifit\ecomflutter\lib\Features\PreferencesPage\wishlist_view.dart", "Dart", 51, 0, 0, 2, 53
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Data\Models\color.dart", "Dart", 24, 0, 0, 9, 33
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Data\Models\color.g.dart", "Dart", 36, 0, 4, 8, 48
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Data\Models\item.dart", "Dart", 36, 0, 0, 12, 48
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Data\Models\item.g.dart", "Dart", 54, 0, 4, 8, 66
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Data\Models\size.dart", "Dart", 10, 0, 0, 5, 15
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Data\Models\size.g.dart", "Dart", 33, 0, 4, 8, 45
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Data\Repo\home_repo.dart", "Dart", 91, 0, 1, 9, 101
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Presentation\Manager\main_products_cubit.dart", "Dart", 19, 0, 0, 3, 22
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Presentation\Manager\main_products_state.dart", "Dart", 13, 0, 0, 6, 19
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Presentation\Views\ProductsPageView\Widgets\categories_widget.dart", "Dart", 41, 0, 0, 4, 45
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Presentation\Views\ProductsPageView\Widgets\custom_main_page_app_bar.dart", "Dart", 75, 0, 12, 3, 90
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Presentation\Views\ProductsPageView\Widgets\new_items_widget.dart", "Dart", 47, 0, 0, 3, 50
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Presentation\Views\ProductsPageView\Widgets\top_selling_widget.dart", "Dart", 47, 0, 0, 4, 51
"c:\ifit\ecomflutter\lib\Features\ProductsPage\Presentation\Views\ProductsPageView\products.dart", "Dart", 99, 0, 0, 3, 102
"c:\ifit\ecomflutter\lib\Features\ProfilePage\Presentation\Manager\profile_page_cubit_cubit.dart", "Dart", 20, 0, 0, 3, 23
"c:\ifit\ecomflutter\lib\Features\ProfilePage\Presentation\Manager\profile_page_cubit_state.dart", "Dart", 10, 0, 0, 5, 15
